ID,Y,filename,sex,age,age_years,corpus,group,child_TNW,child_TNS,examiner_TNW,freq_ttr,r_2_i_verbs,mor_words,num_pos_tags,n_dos,repetition,retracing,fillers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,word_errors,,,,,,,,,total_error
112,0,454.cha,female,53,4.416666667,ENNI,TD,410,58,0,0.301,0.272727273,342,38,0,42,7,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,6
113,0,455.cha,female,56,4.666666667,ENNI,TD,620,69,0,0.25,0.578125,556,40,1,11,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,10
114,0,456.cha,male,50,4.166666667,ENNI,TD,357,56,0,0.291,0.541666667,309,33,0,26,9,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,12
115,0,457.cha,male,56,4.666666667,ENNI,TD,493,70,0,0.265,0.255813954,426,39,1,19,18,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,6
116,0,458.cha,female,52,4.333333333,ENNI,TD,309,72,6,0.345,0.935483871,293,33,4,7,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,11
117,0,459.cha,female,56,4.666666667,ENNI,TD,563,72,0,0.266,0.246153846,515,39,0,11,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,14
118,0,460.cha,female,57,4.75,ENNI,TD,428,70,0,0.29,0.295454546,341,38,1,11,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,12
119,0,461.cha,male,57,4.75,ENNI,TD,572,66,0,0.263,0.254545455,501,37,0,23,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,5
120,0,463.cha,male,59,4.916666667,ENNI,TD,626,69,0,0.254,0.396825397,516,39,4,46,16,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,25
121,0,464.cha,female,56,4.666666667,ENNI,TD,330,58,0,0.246,0.321428571,305,31,0,17,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,8
122,0,465.cha,male,59,4.916666667,ENNI,TD,644,113,0,0.262,0.21686747,604,42,6,6,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,18
123,0,466.cha,female,54,4.5,ENNI,TD,394,71,0,0.355,0.958333333,346,41,1,39,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,12
124,0,468.cha,female,54,4.5,ENNI,TD,319,60,0,0.266,0.340909091,297,30,0,17,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,6
125,0,469.cha,female,56,4.666666667,ENNI,TD,409,61,0,0.276,0.266666667,381,37,1,8,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,11
126,0,471.cha,male,57,4.75,ENNI,TD,686,87,0,0.258,0.27027027,605,41,0,26,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,5
